business_description,nic_code,nic_description
"Our business specializes in manufacture of electric power distribution transformers, arc-welding.",27102,"Manufacture of electric power distribution transformers, arc-welding"
"We provide services related to manufacture of electric power distribution transformers, arc-welding.",27102,"Manufacture of electric power distribution transformers, arc-welding"
"We are engaged in manufacture of electric power distribution transformers, arc-welding in our region.",27102,"Manufacture of electric power distribution transformers, arc-welding"
Our business specializes in manufacture of electric motors (except internal combustion engine starting.,27103,Manufacture of electric motors (except internal combustion engine starting
We provide services related to manufacture of electric motors (except internal combustion engine starting.,27103,Manufacture of electric motors (except internal combustion engine starting
We are engaged in manufacture of electric motors (except internal combustion engine starting in our region.,27103,Manufacture of electric motors (except internal combustion engine starting
Our business specializes in manufacture of electricity distribution and control apparatus (electrical.,27104,Manufacture of electricity distribution and control apparatus (electrical
We provide services related to manufacture of electricity distribution and control apparatus (electrical.,27104,Manufacture of electricity distribution and control apparatus (electrical
We are engaged in manufacture of electricity distribution and control apparatus (electrical in our region.,27104,Manufacture of electricity distribution and control apparatus (electrical
"Our business specializes in manufacture of primary cells and primary batteries nd rechargable batteries,.",27201,"Manufacture of primary cells and primary batteries nd rechargable batteries,"
"We provide services related to manufacture of primary cells and primary batteries nd rechargable batteries,.",27201,"Manufacture of primary cells and primary batteries nd rechargable batteries,"
"We are engaged in manufacture of primary cells and primary batteries nd rechargable batteries, in our region.",27201,"Manufacture of primary cells and primary batteries nd rechargable batteries,"
"Our business specializes in manufacture of electric accumulator incuding parts thereof (separators,.",27202,"Manufacture of electric accumulator incuding parts thereof (separators,"
"We provide services related to manufacture of electric accumulator incuding parts thereof (separators,.",27202,"Manufacture of electric accumulator incuding parts thereof (separators,"
"We are engaged in manufacture of electric accumulator incuding parts thereof (separators, in our region.",27202,"Manufacture of electric accumulator incuding parts thereof (separators,"
Our business specializes in manufacture of fibre optic cables for data transmission or live transmission.,27310,Manufacture of fibre optic cables for data transmission or live transmission
We provide services related to manufacture of fibre optic cables for data transmission or live transmission.,27310,Manufacture of fibre optic cables for data transmission or live transmission
We are engaged in manufacture of fibre optic cables for data transmission or live transmission in our region.,27310,Manufacture of fibre optic cables for data transmission or live transmission
Our business specializes in manufacture of other electronic and electric wires and cables (insulated wire.,27320,Manufacture of other electronic and electric wires and cables (insulated wire
We provide services related to manufacture of other electronic and electric wires and cables (insulated wire.,27320,Manufacture of other electronic and electric wires and cables (insulated wire
We are engaged in manufacture of other electronic and electric wires and cables (insulated wire in our region.,27320,Manufacture of other electronic and electric wires and cables (insulated wire
"Our business specializes in manufacture of switch, switch box, lamp holders, lugs etc..",27331,"Manufacture of switch, switch box, lamp holders, lugs etc."
"We provide services related to manufacture of switch, switch box, lamp holders, lugs etc..",27331,"Manufacture of switch, switch box, lamp holders, lugs etc."
"We are engaged in manufacture of switch, switch box, lamp holders, lugs etc. in our region.",27331,"Manufacture of switch, switch box, lamp holders, lugs etc."
